generic_name,dosage_form,is_available
Hyoscine N Butylbromide,ampule,1
Hypo Act,,1
Ibuprofen,suspension,1
Insulin Glargine,injection,1
Insulin Glargine Lixisenatide,,1
Insulin Pen Podevta,,1
Insulin Pen Tresiba,,1
Iopamidol,vial,1
Ipratropium Salbutamol Metered Dose,inhaler,1
Irbesartan,tablet,1
Irbesartan Amlodipine,tablet,1
Isosorbide Dinitrate,ampule,1
Isosorbide Mononitrate,tablet,1
Isosorbide Mononitriat,tablet,1
Isotonic Electrolyte,solution,1
Ivabradine,tablet,1
Jardiance,tablet,1
Ketamine,vial,1
Ketoanalogue,,1
Ketoanalogues Essential Amino Acids,tablet,1
Ketoprofen,gel,1
Ketoprofen Plaster,,1
Ketorolac,ampule,1
Ketorolac Mlampule,ampule,1
Lactobacillus,,1
Lactulose,syrup,1
Lanoxin,,1
Larga Nature Liniment,spray,1
Legarde,spray,1
Leuprorelin,vial,1
Levetiracetam,,1
Levodopa Carbidopa,,1
Levodropropizine,tablet,1
Levofloxacin Hemihydarte,,1
Levofloxacin Iv,,1
Levoprime,,1
Lidocaine,vial,1
Lidocaine Epinephrine Carpule,,1
Lidocaine Polyamp,,1
Linagliptin,tablet,1
Linezolid Iv,,1
Lithium,,1
Loperamide,capsule,1
Loperamide Simeticone,capsule,1
Loratadine,syrup,1
Losartan,tablet,1
Losartan Amlodipine Hctz,tablet,1
Losartan Hydrochlorothiazide,,1
Losartan K Hctz,tablet,1
Losartan Potassium,tablet,1
Losartan Zarnat,tablet,1
Magnesium,ampule,1
Mannitol,,1
Mefenamic,suspension,1
Mefenamic Acid,capsule,1
Melatonin,tablet,1
Meloxicam,tablet,1
Meningococcal,,1
Meperidine,ampule,1
Meropenem,vial,1
Metformin,tablet,1
Methyldopa,,1
Methylergometrine,ampule,1
Methylprednisolone,tablet,1
Methylprednisolone Iv,,1
Metoclopramide,ampule,1
Metronidazole,tablet,1
Metronidazole Iv,,1
Midazolam,ampule,1
Mometasone W W,cream,1
Monobasic Nahpo Dibasic Nahpo,solution,1
Monobasic Nahpo Dibasic Nahpo Rectal,solution,1
Montelukast,tablet,1
Montelukast Levocetirizine,tablet,1
Montra,capsule,1
Morphine,tablet,1
Morphine Iv,ampule,1
Moxifloxacin Opthalmic,drops,1
Multivitamins,syrup,1
Multivitamins Buclizine Lysine,capsule,1
Multivitamins Ginseng Cap,capsule,1
Multivitamins Iron,tablet,1
Multivitamins Minerals,tablet,1
Multivitamins W B Complex,syrup,1
Multivitamins With Lysine,,1
Multivitamins Zinc Taurine,drops,1
Mupirocin,ointment,1
Mupirocin G,cream,1
Myocard,,1
Nalbuphine,ampule,1
Naloxone,,1
Naproxen,,1
Naproxen Paracetamol,tablet,1
Nebivolol,,1
Neostigmine Iv,,1
Neostigmine Mlampule,ampule,1
Nicardipine,ampule,1
Nitrofurantoin Caps,,1
Norepinephrine,ampule,1
Norepinephrine Iv,,1
Nostigmine,,1
Nystatin Units Ml,drops,1
Octreotide,,1
Omeprazole,vial,1
Omeprazole Iv,,1
Omeprazole Omg,vial,1
Ondansentron,ampule,1
Ondansetron Iv,ampule,1
Oral Rehydrating Salt,sachet,1
Oral Rehydration Salts,sachet,1
Oxacillin Iv,,1
Oxytocin,ampule,1
Oxytocin Ml,ampule,1
Pantobbas,vial,1
Pantobet,tablet,1
Pantoprazole,vial,1
Pantoprazole Domperidone,capsule,1
Paracetamol,ampule,1
Paracetamol Aceclofenac,tablet,1
Paracetamol Chlorphenamine Phenylpropanolamine,capsule,1
Paracetamol Ibuprofen,tablet,1
Paracetamol Orphenadrine,tablet,1
Paracetamol Tempra,syrup,1
Paracetamol Tramadol,tablet,1
Paracetamol Tramdol,tablet,1
Paracetamol Vitamin B B B,tablet,1
Parecoxib,vial,1
Pecof,syrup,1
Perindopril Amlodipine,tablet,1
Perindopril Arginine Amlodipine,tablet,1
Perindopril Arginine Indapamide Amlodipine,tablet,1
Pethidine Iv,,1
Phenobarbital,ampule,1
Phenoxymethyl Penicillin,,1
Phenylephrine Brompheniramine,drops,1
Phenylephrine Chlorphenamine,drops,1
Phenyleprine Brompheniramine,syrup,1
Phenylpropanolamine,syrup,1
Phenylpropanolamine Brompheniramine,syrup,1
Phenytoin,ampule,1
Phenytoin Haizure,ampule,1
Phenytoin Iv,,1
Phytomenadione,ampule,1
Phytopmenadione,ampule,1
Pimax Enteric Coated,tablet,1
Pioglitazone,tablet,1
Piolitazone,tablet,1
Piperacillin Tazobactam,vial,1
Pneumotyl,tablet,1
Policresulen Cinchocaine,suppository,1
Polymyxin B Iv,,1
Potassium,tablet,1
Potassium Chloride,tablet,1
Potassium Chloride Meq,vial,1
Prasugrel,tablet,1
Prednisolone,drops,1
Prednisone,tablet,1
Prednisone Vonwelt,tablet,1
Pregabalin,capsule,1
Probiotics,capsule,1
Procaterol,syrup,1
Propofol,ampule,1
Propofol Vials,,1
Propranolol,,1
Propylthiouracil,,1
Proxymetacaine Eye,drops,1
Purified Rabies Vaccine,,1
Pyrantel,suspension,1
Rabeprazole,vial,1
Racecadotril,sachet,1
Ranitidine,ampule,1
Ranolazine,tablet,1
